City,Utility,State,Wastewater Rate per kGal (2022ÊRate)
Seattle,Seattle Public Utilities (SPU),WA,$11.02 
San Francisco,San Francisco Public Utilities Commission (SFPUC),CA,$10.97 
San Diego,San Diego Public Utilities Department,CA,$10.02 
Boston,Massachusetts Water Resources Authority (MWRA),MA,$9.95 
Portland,Portland Water Bureau,OR,$9.38 
Salt Lake City,Salt Lake City Department of Public Utilities,UT,$8.82 
New York,New York City Department of Environmental Protection (NYCDEP),NY,$8.66 
"Washington, D.C.",DC Water,DC,$8.29 
Philadelphia,Philadelphia Water Department (PWD),PA,$8.17 
Columbus,Columbus Department of Public Utilities,OH,$7.98 
Cincinnati,Metropolitan Sewer District of Greater Cincinnati,OH,$7.92 
Sacramento,City of Sacramento Utilities Department,CA,$7.67 
Chicago,Chicago Department of Water Management,IL,$7.62 
Grand Rapids,City of Grand Rapids Water System,MI,$7.55 
Los Angeles,Los Angeles Department of Water and Power (LADWP),CA,$7.47 
Indianapolis,Citizens Energy Group,IN,$7.40 
Charlotte,Charlotte Water,NC,$7.39 
Milwaukee,Milwaukee Water Works,WI,$7.35 
Atlanta,Atlanta Department of Watershed Management,GA,$7.30 
New Orleans,Sewerage and Water Board of New Orleans (SWBNO),LA,$7.23 
Cleveland,Northeast Ohio Regional Sewer District (NEORSD),OH,$7.22 
Phoenix,City of Phoenix Water Services Department,AZ,$7.13 
Pittsburgh,Pittsburgh Water and Sewer Authority (PWSA),PA,$7.11 
Raleigh,City of Raleigh Public Utilities Department,NC,$7.09 
San Jose,San Jose Water Company,CA,$7.05 
Providence,Providence Water,RI,$7.04 
Fresno,City of Fresno Department of Public Utilities,CA,$7.00 
Houston,City of Houston Public Works & Engineering,TX,$6.97 
Miami,Miami-Dade Water and Sewer Department,FL,$6.91 
Baltimore,Baltimore Department of Public Works,MD,$6.87 
Birmingham,Birmingham Water Works Board,AL,$6.83 
Louisville,Metropolitan Sewer District (MSD),KY,$6.75 
Minneapolis,Minneapolis Public Works Department,MN,$6.74 
Detroit,Detroit Water and Sewerage Department,MI,$6.71 
Orlando,Orlando Utilities Commission (OUC),FL,$6.65 
Denver,Denver Water,CO,$6.62 
Fort Worth,Fort Worth Water Department,TX,$6.61 
San Antonio,San Antonio Water System (SAWS),TX,$6.59 
Jacksonville,JEA,FL,$6.54 
Little Rock,Central Arkansas Water,AR,$6.51 
Virginia Beach,Virginia Beach Public Utilities Department,VA,$6.48 
Richmond,Richmond Department of Public Utilities,VA,$6.42 
Tampa,Tampa Water Department,FL,$6.33 
Kansas City,Kansas City Water Services,MO,$6.31 
Metropolitan District Commission (MDC),,CT,$6.27 
Tulsa,City of Tulsa Water and Sewer Department,OK,$6.21 
Las Vegas,Las Vegas Valley Water District (LVVWD),NV,$6.15 
Oklahoma City,Oklahoma City Utilities Department,OK,$6.09 
Dallas,Dallas Water Utilities,TX,$6.04 
Nashville,Metro Water Services,TN,$6.03 
Tucson,Tucson Water,AZ,$5.99 
Knoxville,Knoxville Utilities Board,TN,$5.76 
Lexington,Lexington Water Service Company,KY,$4.49 
