City,Utility,State,Water Rate per kGal (2022ÊRate)
San Francisco,San Francisco Public Utilities Commission (SFPUC),CA,$6.90 
Cleveland,Cleveland Water,OH,$6.09 
San Diego,San Diego Public Utilities Department,CA,$5.95 
New York,New York City Department of Environmental Protection (NYCDEP),NY,$5.94 
Portland,Portland Water Bureau,OR,$5.67 
Atlanta,Atlanta Department of Watershed Management,GA,$5.39 
"Washington, D.C.",DC Water,DC,$5.28 
Boston,Massachusetts Water Resources Authority (MWRA),MA,$5.16 
Philadelphia,Philadelphia Water Department (PWD),PA,$5.15 
Chicago,Chicago Department of Water Management,IL,$5.08 
Denver,Denver Water,CO,$4.94 
Seattle,Seattle Public Utilities (SPU),WA,$4.87 
Los Angeles,Los Angeles Department of Water and Power (LADWP),CA,$4.80 
Sacramento,City of Sacramento Utilities Department,CA,$4.78 
Providence,Providence Water,RI,$4.76 
Pittsburgh,Pittsburgh Water and Sewer Authority (PWSA),PA,$4.73 
Charlotte,Charlotte Water,NC,$4.64 
Las Vegas,Las Vegas Valley Water District (LVVWD),NV,$4.59 
Baltimore,Baltimore Department of Public Works,MD,$4.59 
Fresno,City of Fresno Department of Public Utilities,CA,$4.58 
San Jose,San Jose Water Company,CA,$4.58 
Salt Lake City,Salt Lake City Department of Public Utilities,UT,$4.53 
Grand Rapids,City of Grand Rapids Water System,MI,$4.49 
Cincinnati,Greater Cincinnati Water Works,OH,$4.49 
Virginia Beach,Virginia Beach Public Utilities Department,VA,$4.47 
Miami,Miami-Dade Water and Sewer Department,FL,$4.42 
St. Louis,St. Louis Water Division,MO,$4.34 
Raleigh,City of Raleigh Public Utilities Department,NC,$4.33 
Orlando,Orlando Utilities Commission (OUC),FL,$4.31 
Hartford,Metropolitan District Commission (MDC),CT,$4.26 
Indianapolis,Citizens Energy Group,IN,$4.13 
San Antonio,San Antonio Water System (SAWS),TX,$4.10 
Birmingham,Birmingham Water Works Board,AL,$4.09 
Phoenix,City of Phoenix Water Services Department,AZ,$4.08 
Houston,City of Houston Public Works & Engineering,TX,$4.03 
New Orleans,Sewerage and Water Board of New Orleans (SWBNO),LA,$4.00 
Tampa,Tampa Water Department,FL,$3.97 
Columbus,Columbus Department of Public Utilities,OH,$3.96 
Tulsa,City of Tulsa Water and Sewer Department,OK,$3.96 
Jacksonville,JEA,FL,$3.95 
Richmond,Richmond Department of Public Utilities,VA,$3.92 
Louisville,Louisville Water Company,KY,$3.89 
Minneapolis,Minneapolis Public Works Department,MN,$3.86 
Fort Worth,Fort Worth Water Department,TX,$3.83 
Little Rock,Central Arkansas Water,AR,$3.80 
Detroit,Detroit Water and Sewerage Department,MI,$3.77 
Milwaukee,Milwaukee Water Works,WI,$3.76 
Lexington,Lexington Water Service Company,KY,$3.73 
Dallas,Dallas Water Utilities,TX,$3.68 
Omaha,Metropolitan Utilities District (MUD),NE,$3.61 
Oklahoma City,Oklahoma City Utilities Department,OK,$3.57 
Nashville,Metro Water Services,TN,$3.57 
Kansas City,Kansas City Water Services,MO,$3.54 
Knoxville,Knoxville Utilities Board,TN,$3.48 
Tucson,Tucson Water,AZ,$3.46 
