State,Local Exchange Carrier
Alabama,AT&T (Wikipedia)
Alaska,Alaska Communications (Wikipedia)
Arizona,Lumen Technologies (via ex-Qwest) (Wikipedia)
Arkansas,AT&T (Wikipedia)
California,AT&T (Wikipedia)
Colorado,Lumen Technologies (Wikipedia)
Connecticut,Verizon (Wikipedia)
Delaware,Verizon (Wikipedia)
Florida,AT&T (Wikipedia)
Georgia,AT&T (Wikipedia)
Hawaii,Hawaiian Telcom (via Altafiber) (Wikipedia)
Idaho,Lumen Technologies (Wikipedia)
Illinois,AT&T (Wikipedia)
Indiana,AT&T (Wikipedia)
Iowa,Lumen Technologies (Wikipedia)
Kansas,AT&T (Wikipedia)
Kentucky,AT&T (Wikipedia)
Louisiana,AT&T (Wikipedia)
Maine,Consolidated Communications (Wikipedia)
Maryland,Verizon (Wikipedia)
Massachusetts,Verizon (Wikipedia)
Michigan,AT&T (Wikipedia)
Minnesota,Lumen Technologies (Wikipedia)
Mississippi,AT&T (Wikipedia)
Missouri,AT&T (Wikipedia)
Montana,Lumen Technologies (Wikipedia)
Nebraska,Lumen Technologies (Wikipedia)
Nevada,AT&T (Wikipedia)
New Hampshire,Consolidated Communications (Wikipedia)
New Jersey,Verizon (Wikipedia)
New Mexico,Lumen Technologies (Wikipedia)
New York,Verizon (Wikipedia)
North Carolina,AT&T (Wikipedia)
North Dakota,Lumen Technologies (Wikipedia)
Ohio,AT&T (Wikipedia)
Oklahoma,AT&T (Wikipedia)
Oregon,Lumen Technologies (Wikipedia)
Pennsylvania,Verizon (Wikipedia)
Rhode Island,Verizon (Wikipedia)
South Carolina,AT&T (Wikipedia)
South Dakota,Lumen Technologies (Wikipedia)
Tennessee,AT&T (Wikipedia)
Texas,AT&T (Wikipedia)
Utah,Lumen Technologies (Wikipedia)
Vermont,Consolidated Communications (Wikipedia)
Virginia,Verizon (Wikipedia)
Washington,Lumen Technologies (Wikipedia)
West Virginia,Verizon (Wikipedia)
Wisconsin,AT&T (Wikipedia)
Wyoming,Lumen Technologies (Wikipedia)
